,resume_count
Education,2435
Sales,1311
Communication,1295
Leadership,1026
Customer Service,972
Excel,958
Marketing,870
Microsoft Office,680
Accounting,559
Database,551
Project Management,551
Finance,447
Payroll,440
Engineering,437
Problem Solving,422
Business Administration,381
Time Management,374
Customer Satisfaction,325
Construction,307
Business Development,307
Social Media,289
Human Resources,283
Healthcare,282
Public Relations,242
Microsoft Word,240
Quality Assurance,235
Banking,232
Recruitment,212
Strategic Planning,210
Data Entry,205
Accounts Payable,201
Training and Development,188
SQL,178
Conflict Resolution,165
Financial Statements,164
Critical Thinking,159
HTML,143
Financial Reporting,133
Data Analysis,126
Decision Making,125
Aviation,122
Inventory Management,116
Operations Management,110
Teamwork,105
Culinary,91
Hospitality,89
Linux,87
Graphic Design,77
Java,67
Team Management,65
CSS,65
C++,64
Digital Media,57
Automotive,57
JavaScript,56
Food Safety,48
Python,40
MySQL,39
C#,38
Statistical Analysis,38
Agriculture,36
Adaptability,35
Tableau,26
AWS,22
Machine Learning,12
Bootstrap,11
Azure,11
Git,10
GitHub,9
REST API,5
Pandas,5
React,4
PostgreSQL,4
MongoDB,4
TensorFlow,3
Scikit-learn,2
Docker,2
Deep Learning,1
Power BI,1
Node.js,1
Keras,1
Flask,1
NumPy,1
Django,0
