Career,Precision,Recall,F1-Score,Support
ACCOUNTANT,0.9487,1.0000,0.9737,37
ADVOCATE,1.0000,0.9394,0.9688,33
AGRICULTURE,1.0000,0.9600,0.9796,25
APPAREL,0.9722,0.9722,0.9722,36
ARTS,0.9677,0.8824,0.9231,34
AUTOMOBILE,1.0000,0.9444,0.9714,18
AVIATION,1.0000,1.0000,1.0000,33
BANKING,0.9259,0.9259,0.9259,27
BPO,1.0000,1.0000,1.0000,13
BUSINESS-DEVELOPMENT,0.9375,0.9677,0.9524,31
CHEF,0.9787,0.9787,0.9787,47
CONSTRUCTION,1.0000,1.0000,1.0000,30
CONSULTANT,0.9750,0.9512,0.9630,41
DESIGNER,0.9667,1.0000,0.9831,29
DIGITAL-MEDIA,1.0000,0.9259,0.9615,27
ENGINEERING,1.0000,1.0000,1.0000,29
FINANCE,0.9444,0.9714,0.9577,35
FITNESS,1.0000,0.9762,0.9880,42
HEALTHCARE,0.9062,0.9355,0.9206,31
HR,0.9677,1.0000,0.9836,30
INFORMATION-TECHNOLOGY,1.0000,0.9714,0.9857,35
PUBLIC-RELATIONS,0.8571,0.9600,0.9057,25
SALES,0.9730,0.9730,0.9730,37
TEACHER,0.9459,1.0000,0.9722,35
